protocol,week_date,total
Maker,2017-05-07 00:00:00,16.0
Maker,2017-05-14 00:00:00,24.0
Maker,2017-05-21 00:00:00,40.0
Maker,2017-05-28 00:00:00,24.0
Maker,2017-06-04 00:00:00,44.0
Maker,2017-06-11 00:00:00,70.0
Maker,2017-06-18 00:00:00,78.0
Maker,2017-06-25 00:00:00,146.0
Maker,2017-07-02 00:00:00,70.0
Maker,2017-07-09 00:00:00,88.0
Maker,2017-07-16 00:00:00,56.0
Maker,2017-07-23 00:00:00,71.0
Maker,2017-07-30 00:00:00,36.0
Maker,2017-08-06 00:00:00,49.0
Maker,2017-08-13 00:00:00,107.0
Maker,2017-08-20 00:00:00,15.0
Maker,2017-08-27 00:00:00,3.0
Maker,2017-09-03 00:00:00,37.0
Maker,2017-09-10 00:00:00,128.0
Maker,2017-09-17 00:00:00,56.0
Maker,2017-09-24 00:00:00,3.0
Maker,2017-10-01 00:00:00,57.0
Maker,2017-10-08 00:00:00,14.0
Maker,2017-10-15 00:00:00,21.0
Maker,2017-10-22 00:00:00,15.0
Maker,2017-10-29 00:00:00,0.0
Maker,2017-11-05 00:00:00,25.0
Maker,2017-11-12 00:00:00,34.0
Maker,2017-11-19 00:00:00,67.0
Maker,2017-11-26 00:00:00,95.0
Maker,2017-12-03 00:00:00,129.0
Maker,2017-12-10 00:00:00,49.0
Maker,2017-12-17 00:00:00,28.0
Maker,2017-12-24 00:00:00,19.0
Maker,2017-12-31 00:00:00,13.0
Maker,2018-01-07 00:00:00,20.0
Maker,2018-01-14 00:00:00,4.0
Maker,2018-01-21 00:00:00,3.0
Monero,2017-01-29 00:00:00,26.0
Monero,2017-02-05 00:00:00,26.0
Monero,2017-02-12 00:00:00,36.0
Monero,2017-02-19 00:00:00,68.0
Monero,2017-02-26 00:00:00,35.0
Monero,2017-03-05 00:00:00,14.0
Monero,2017-03-12 00:00:00,21.0
Monero,2017-03-19 00:00:00,44.0
Monero,2017-03-26 00:00:00,13.0
Monero,2017-04-02 00:00:00,16.0
Monero,2017-04-09 00:00:00,15.0
Monero,2017-04-16 00:00:00,12.0
Monero,2017-04-23 00:00:00,8.0
Monero,2017-04-30 00:00:00,2.0
Monero,2017-05-07 00:00:00,7.0
Monero,2017-05-14 00:00:00,4.0
Monero,2017-05-21 00:00:00,4.0
Monero,2017-05-28 00:00:00,16.0
Monero,2017-06-04 00:00:00,7.0
Monero,2017-06-11 00:00:00,4.0
Monero,2017-06-18 00:00:00,19.0
Monero,2017-06-25 00:00:00,17.0
Monero,2017-07-02 00:00:00,17.0
Monero,2017-07-09 00:00:00,11.0
Monero,2017-07-16 00:00:00,7.0
Monero,2017-07-23 00:00:00,28.0
Monero,2017-07-30 00:00:00,55.0
Monero,2017-08-06 00:00:00,31.0
Monero,2017-08-13 00:00:00,25.0
Monero,2017-08-20 00:00:00,30.0
Monero,2017-08-27 00:00:00,23.0
Monero,2017-09-03 00:00:00,27.0
Monero,2017-09-10 00:00:00,42.0
Monero,2017-09-17 00:00:00,38.0
Monero,2017-09-24 00:00:00,23.0
Monero,2017-10-01 00:00:00,30.0
Monero,2017-10-08 00:00:00,22.0
Monero,2017-10-15 00:00:00,32.0
Monero,2017-10-22 00:00:00,26.0
Monero,2017-10-29 00:00:00,18.0
Monero,2017-11-05 00:00:00,24.0
Monero,2017-11-12 00:00:00,34.0
Monero,2017-11-19 00:00:00,18.0
Monero,2017-11-26 00:00:00,21.0
Monero,2017-12-03 00:00:00,29.0
Monero,2017-12-10 00:00:00,52.0
Monero,2017-12-17 00:00:00,36.0
Monero,2017-12-24 00:00:00,8.0
Monero,2017-12-31 00:00:00,3.0
Monero,2018-01-07 00:00:00,4.0
Monero,2018-01-14 00:00:00,1.0
Monero,2018-01-21 00:00:00,3.0
Monero,2018-01-28 00:00:00,1.0
Raiblocks,2017-01-29 00:00:00,9.0
Raiblocks,2017-02-05 00:00:00,31.0
Raiblocks,2017-02-12 00:00:00,17.0
Raiblocks,2017-02-19 00:00:00,24.0
Raiblocks,2017-02-26 00:00:00,14.0
Raiblocks,2017-03-05 00:00:00,59.0
Raiblocks,2017-03-12 00:00:00,30.0
Raiblocks,2017-03-19 00:00:00,4.0
Raiblocks,2017-03-26 00:00:00,14.0
Raiblocks,2017-04-02 00:00:00,4.0
Raiblocks,2017-04-09 00:00:00,15.0
Raiblocks,2017-04-16 00:00:00,13.0
Raiblocks,2017-04-23 00:00:00,7.0
Raiblocks,2017-04-30 00:00:00,0.0
Raiblocks,2017-05-07 00:00:00,2.0
Raiblocks,2017-05-14 00:00:00,1.0
Raiblocks,2017-05-21 00:00:00,6.0
Raiblocks,2017-05-28 00:00:00,14.0
Raiblocks,2017-06-04 00:00:00,1.0
Raiblocks,2017-06-11 00:00:00,3.0
Raiblocks,2017-06-18 00:00:00,36.0
Raiblocks,2017-06-25 00:00:00,9.0
Raiblocks,2017-07-02 00:00:00,10.0
Raiblocks,2017-07-09 00:00:00,4.0
Raiblocks,2017-07-16 00:00:00,25.0
Raiblocks,2017-07-23 00:00:00,10.0
Raiblocks,2017-07-30 00:00:00,19.0
Raiblocks,2017-08-06 00:00:00,15.0
Raiblocks,2017-08-13 00:00:00,13.0
Raiblocks,2017-08-20 00:00:00,40.0
Raiblocks,2017-08-27 00:00:00,8.0
Raiblocks,2017-09-03 00:00:00,6.0
Raiblocks,2017-09-10 00:00:00,3.0
Raiblocks,2017-09-17 00:00:00,0.0
Raiblocks,2017-09-24 00:00:00,12.0
Raiblocks,2017-10-01 00:00:00,5.0
Raiblocks,2017-10-08 00:00:00,2.0
Raiblocks,2017-10-15 00:00:00,1.0
Raiblocks,2017-10-22 00:00:00,9.0
Raiblocks,2017-10-29 00:00:00,12.0
Raiblocks,2017-11-05 00:00:00,1.0
Raiblocks,2017-11-12 00:00:00,4.0
Raiblocks,2017-11-19 00:00:00,4.0
Raiblocks,2017-11-26 00:00:00,2.0
Raiblocks,2017-12-03 00:00:00,10.0
Raiblocks,2017-12-10 00:00:00,19.0
Raiblocks,2017-12-17 00:00:00,25.0
Raiblocks,2017-12-24 00:00:00,29.0
Raiblocks,2017-12-31 00:00:00,42.0
Raiblocks,2018-01-07 00:00:00,23.0
Raiblocks,2018-01-14 00:00:00,6.0
Raiblocks,2018-01-21 00:00:00,19.0
Raiblocks,2018-01-28 00:00:00,4.0
Raiden,2017-01-29 00:00:00,21.0
Raiden,2017-02-05 00:00:00,27.0
Raiden,2017-02-12 00:00:00,27.0
Raiden,2017-02-19 00:00:00,45.0
Raiden,2017-02-26 00:00:00,29.0
Raiden,2017-03-05 00:00:00,34.0
Raiden,2017-03-12 00:00:00,23.0
Raiden,2017-03-19 00:00:00,5.0
Raiden,2017-03-26 00:00:00,29.0
Raiden,2017-04-02 00:00:00,39.0
Raiden,2017-04-09 00:00:00,26.0
Raiden,2017-04-16 00:00:00,51.0
Raiden,2017-04-23 00:00:00,45.0
Raiden,2017-04-30 00:00:00,34.0
Raiden,2017-05-07 00:00:00,29.0
Raiden,2017-05-14 00:00:00,32.0
Raiden,2017-05-21 00:00:00,36.0
Raiden,2017-05-28 00:00:00,41.0
Raiden,2017-06-04 00:00:00,24.0
Raiden,2017-06-11 00:00:00,24.0
Raiden,2017-06-18 00:00:00,27.0
Raiden,2017-06-25 00:00:00,13.0
Raiden,2017-07-02 00:00:00,50.0
Raiden,2017-07-09 00:00:00,92.0
Raiden,2017-07-16 00:00:00,85.0
Raiden,2017-07-23 00:00:00,57.0
Raiden,2017-07-30 00:00:00,45.0
Raiden,2017-08-06 00:00:00,40.0
Raiden,2017-08-13 00:00:00,32.0
Raiden,2017-08-20 00:00:00,41.0
Raiden,2017-08-27 00:00:00,77.0
Raiden,2017-09-03 00:00:00,74.0
Raiden,2017-09-10 00:00:00,50.0
Raiden,2017-09-17 00:00:00,60.0
Raiden,2017-09-24 00:00:00,4.0
Raiden,2017-10-01 00:00:00,22.0
Raiden,2017-10-08 00:00:00,8.0
Raiden,2017-10-15 00:00:00,12.0
Raiden,2017-10-22 00:00:00,7.0
Raiden,2017-10-29 00:00:00,2.0
Raiden,2017-11-05 00:00:00,10.0
Raiden,2017-11-12 00:00:00,21.0
Raiden,2017-11-19 00:00:00,12.0
Raiden,2017-11-26 00:00:00,12.0
Raiden,2017-12-03 00:00:00,13.0
Raiden,2017-12-10 00:00:00,17.0
Raiden,2017-12-17 00:00:00,13.0
Raiden,2017-12-24 00:00:00,0.0
Raiden,2017-12-31 00:00:00,1.0
Raiden,2018-01-07 00:00:00,6.0
Raiden,2018-01-14 00:00:00,9.0
Raiden,2018-01-21 00:00:00,21.0
Raiden,2018-01-28 00:00:00,0.0
Sia,2017-01-29 00:00:00,19.0
Sia,2017-02-05 00:00:00,72.0
Sia,2017-02-12 00:00:00,36.0
Sia,2017-02-19 00:00:00,30.0
Sia,2017-02-26 00:00:00,21.0
Sia,2017-03-05 00:00:00,9.0
Sia,2017-03-12 00:00:00,16.0
Sia,2017-03-19 00:00:00,45.0
Sia,2017-03-26 00:00:00,22.0
Sia,2017-04-02 00:00:00,50.0
Sia,2017-04-09 00:00:00,78.0
Sia,2017-04-16 00:00:00,54.0
Sia,2017-04-23 00:00:00,39.0
Sia,2017-04-30 00:00:00,25.0
Sia,2017-05-07 00:00:00,32.0
Sia,2017-05-14 00:00:00,32.0
Sia,2017-05-21 00:00:00,46.0
Sia,2017-05-28 00:00:00,35.0
Sia,2017-06-04 00:00:00,70.0
Sia,2017-06-11 00:00:00,61.0
Sia,2017-06-18 00:00:00,30.0
Sia,2017-06-25 00:00:00,44.0
Sia,2017-07-02 00:00:00,39.0
Sia,2017-07-09 00:00:00,62.0
Sia,2017-07-16 00:00:00,27.0
Sia,2017-07-23 00:00:00,12.0
Sia,2017-07-30 00:00:00,3.0
Sia,2017-08-06 00:00:00,1.0
Sia,2017-08-13 00:00:00,2.0
Sia,2017-08-20 00:00:00,8.0
Sia,2017-08-27 00:00:00,29.0
Sia,2017-09-03 00:00:00,10.0
Sia,2017-09-10 00:00:00,25.0
Sia,2017-09-17 00:00:00,29.0
Sia,2017-09-24 00:00:00,62.0
Sia,2017-10-01 00:00:00,37.0
Sia,2017-10-08 00:00:00,22.0
Sia,2017-10-15 00:00:00,24.0
Sia,2017-10-22 00:00:00,11.0
Sia,2017-10-29 00:00:00,9.0
Sia,2017-11-05 00:00:00,10.0
Sia,2017-11-12 00:00:00,5.0
Sia,2017-11-19 00:00:00,2.0
Sia,2017-11-26 00:00:00,24.0
Sia,2017-12-03 00:00:00,42.0
Sia,2017-12-10 00:00:00,30.0
Sia,2017-12-17 00:00:00,16.0
Sia,2017-12-24 00:00:00,5.0
Sia,2017-12-31 00:00:00,26.0
Sia,2018-01-07 00:00:00,23.0
Sia,2018-01-14 00:00:00,11.0
Sia,2018-01-21 00:00:00,1.0
Sia,2018-01-28 00:00:00,0.0
Storj,2017-01-29 00:00:00,4.0
Storj,2017-02-05 00:00:00,14.0
Storj,2017-02-12 00:00:00,15.0
Storj,2017-02-19 00:00:00,12.0
Storj,2017-02-26 00:00:00,11.0
Storj,2017-03-05 00:00:00,12.0
Storj,2017-03-12 00:00:00,19.0
Storj,2017-03-19 00:00:00,31.0
Storj,2017-03-26 00:00:00,7.0
Storj,2017-04-02 00:00:00,4.0
Storj,2017-04-09 00:00:00,16.0
Storj,2017-04-16 00:00:00,8.0
Storj,2017-04-23 00:00:00,8.0
Storj,2017-04-30 00:00:00,8.0
