protocol,week_date,total
Storj,2017-05-07 00:00:00,5.0
Storj,2017-05-14 00:00:00,1.0
Storj,2017-05-21 00:00:00,8.0
Storj,2017-05-28 00:00:00,13.0
Storj,2017-06-04 00:00:00,0.0
Storj,2017-06-11 00:00:00,21.0
Storj,2017-06-18 00:00:00,27.0
Storj,2017-06-25 00:00:00,17.0
Storj,2017-07-02 00:00:00,16.0
Storj,2017-07-09 00:00:00,12.0
Storj,2017-07-16 00:00:00,7.0
Storj,2017-07-23 00:00:00,10.0
Storj,2017-07-30 00:00:00,6.0
Storj,2017-08-06 00:00:00,4.0
Storj,2017-08-13 00:00:00,0.0
Storj,2017-08-20 00:00:00,2.0
Storj,2017-08-27 00:00:00,5.0
Storj,2017-09-03 00:00:00,18.0
