,protocol,date,question_count,views
82,Bitcoin,2017-06-16,5.0,404.0
83,Bitcoin,2017-06-17,1.0,34.0
84,Bitcoin,2017-06-18,1.0,181.0
85,Bitcoin,2017-06-20,1.0,473.0
86,Bitcoin,2017-06-21,1.0,190.0
87,Bitcoin,2017-06-22,2.0,419.0
88,Bitcoin,2017-06-23,1.0,312.0
89,Bitcoin,2017-06-25,4.0,43.0
90,Bitcoin,2017-06-26,1.0,81.0
91,Bitcoin,2017-06-27,1.0,242.0
92,Bitcoin,2017-06-29,2.0,30.0
93,Bitcoin,2017-06-30,1.0,238.0
94,Bitcoin,2017-07-02,2.0,65.0
95,Bitcoin,2017-07-04,3.0,29.0
