,protocol,date,follower_count
285,Raiblocks,2018-02-22,78686
286,Raiblocks,2018-02-23,79427
287,Raiblocks,2018-02-24,80743
288,Raiblocks,2018-02-25,81339
289,Raiblocks,2018-02-26,81829
290,Raiblocks,2018-02-27,82093
291,Raiden,2018-01-28,17673
292,Raiden,2018-01-29,17825
293,Raiden,2018-01-31,18047
294,Raiden,2018-02-01,18119
295,Raiden,2018-02-02,18172
296,Raiden,2018-02-03,18237
297,Raiden,2018-02-04,18309
298,Raiden,2018-02-05,18386
299,Raiden,2018-02-06,18438
300,Raiden,2018-02-07,18517
301,Raiden,2018-02-08,18582
302,Raiden,2018-02-09,18631
303,Raiden,2018-02-11,18740
304,Raiden,2018-02-12,18796
305,Raiden,2018-02-13,18876
306,Raiden,2018-02-14,18934
307,Raiden,2018-02-15,19029
308,Raiden,2018-02-16,19155
309,Raiden,2018-02-17,19252
310,Raiden,2018-02-18,19351
311,Raiden,2018-02-19,19438
312,Raiden,2018-02-20,19583
313,Raiden,2018-02-21,19676
314,Raiden,2018-02-22,19736
315,Raiden,2018-02-23,19795
316,Raiden,2018-02-24,19860
317,Raiden,2018-02-25,19927
318,Raiden,2018-02-26,19978
319,Raiden,2018-02-27,19989
320,Sia,2018-01-28,20209
321,Sia,2018-01-29,20319
322,Sia,2018-01-31,20494
323,Sia,2018-02-01,20560
324,Sia,2018-02-02,20598
325,Sia,2018-02-03,20620
326,Sia,2018-02-04,20665
327,Sia,2018-02-05,20721
328,Sia,2018-02-06,20752
329,Sia,2018-02-07,20808
330,Sia,2018-02-08,20853
331,Sia,2018-02-09,20894
332,Sia,2018-02-11,20969
333,Sia,2018-02-12,20993
334,Sia,2018-02-13,21036
335,Sia,2018-02-14,21066
336,Sia,2018-02-15,21112
337,Sia,2018-02-16,21139
338,Sia,2018-02-17,21190
339,Sia,2018-02-18,21227
340,Sia,2018-02-19,21261
341,Sia,2018-02-20,21318
342,Sia,2018-02-21,21372
343,Sia,2018-02-22,21396
344,Sia,2018-02-23,21418
345,Sia,2018-02-24,21435
346,Sia,2018-02-25,21455
347,Sia,2018-02-26,21474
348,Sia,2018-02-27,21481
349,Stellar,2018-02-03,196988
350,Stellar,2018-02-04,197695
351,Stellar,2018-02-05,198325
352,Stellar,2018-02-06,198907
353,Stellar,2018-02-07,199664
354,Stellar,2018-02-08,200578
355,Stellar,2018-02-09,201556
356,Stellar,2018-02-11,203103
357,Stellar,2018-02-12,203752
358,Stellar,2018-02-13,204684
359,Stellar,2018-02-14,205531
360,Stellar,2018-02-15,206267
361,Stellar,2018-02-16,207021
362,Stellar,2018-02-17,207639
363,Stellar,2018-02-18,208183
364,Stellar,2018-02-19,208797
365,Stellar,2018-02-20,209416
366,Stellar,2018-02-21,209919
367,Stellar,2018-02-22,210360
368,Stellar,2018-02-23,210733
369,Stellar,2018-02-24,211199
370,Stellar,2018-02-25,211635
371,Stellar,2018-02-26,212126
372,Stellar,2018-02-27,212281
373,Storj,2018-01-28,75226
374,Storj,2018-01-29,75390
375,Storj,2018-01-31,75734
376,Storj,2018-02-01,75868
377,Storj,2018-02-02,75977
378,Storj,2018-02-03,76072
379,Storj,2018-02-04,76180
380,Storj,2018-02-05,76270
381,Storj,2018-02-06,76310
382,Storj,2018-02-07,76421
383,Storj,2018-02-08,76535
384,Storj,2018-02-09,76620
385,Storj,2018-02-11,76818
386,Storj,2018-02-12,76911
387,Storj,2018-02-13,77027
388,Storj,2018-02-14,77136
389,Storj,2018-02-15,77250
390,Storj,2018-02-16,77390
391,Storj,2018-02-17,77488
392,Storj,2018-02-18,77613
393,Storj,2018-02-19,77710
394,Storj,2018-02-20,77815
395,Storj,2018-02-21,77869
396,Storj,2018-02-22,77939
397,Storj,2018-02-23,77972
398,Storj,2018-02-24,78050
399,Storj,2018-02-25,78127
400,Storj,2018-02-26,78176
401,Storj,2018-02-27,78187
402,Tether,2018-01-28,18061
403,Tether,2018-01-29,18369
404,Tether,2018-01-31,19254
405,Tether,2018-02-01,19510
406,Tether,2018-02-02,19783
407,Tether,2018-02-03,19989
408,Tether,2018-02-04,20134
409,Tether,2018-02-05,20328
410,Tether,2018-02-06,20574
411,Tether,2018-02-07,20781
412,Tether,2018-02-08,20939
413,Tether,2018-02-09,21030
414,Tether,2018-02-11,21235
415,Tether,2018-02-12,21302
416,Tether,2018-02-13,21454
417,Tether,2018-02-14,21594
418,Tether,2018-02-15,21700
419,Tether,2018-02-16,21775
420,Tether,2018-02-17,21830
